TranDate,Account,Dept,Sum of Amount
01/08/2022,66530,238,6.73
01/08/2022,66040,259,65.1
01/08/2022,71160,285,268.19
01/08/2022,81100,284,74.6
01/08/2022,86180,254,20.71
01/08/2022,71200,269,191.02
01/08/2022,61530,243,65.98
01/08/2022,73050,289,21.73
01/08/2022,66040,214,35.81
01/08/2022,63050,161,30.38
01/08/2022,65610,295,834.88
01/08/2022,65760,257,4.89
01/08/2022,73050,222,16.02
01/08/2022,82050,161,39.08
01/08/2022,62099,209,40.13
01/08/2022,61520,164,299.7
01/08/2022,62099,283,22.07
01/08/2022,66110,281,0.62
01/08/2022,65550,288,"1,639.03"
01/08/2022,66120,217,1.97
01/08/2022,61570,177,393
01/08/2022,66010,237,100.42
01/08/2022,65660,234,115.09
01/08/2022,66510,257,68.59
01/08/2022,65730,229,2.88
01/08/2022,66100,286,3.12
01/08/2022,65710,240,425.31
01/08/2022,66080,223,8.53
01/08/2022,65610,225,459.18
01/08/2022,86350,202,93.08
01/08/2022,73010,255,560.33
01/08/2022,63050,249,73.55
01/08/2022,65750,167,451.51
01/08/2022,84020,291,225.08
01/08/2022,61550,252,386.92
01/08/2022,66550,225,71.63
01/08/2022,86400,212,2.11
01/08/2022,66520,237,13.04
01/08/2022,65710,198,"1,029.46"
01/08/2022,65520,244,94.67
01/08/2022,65590,176,203.27
01/08/2022,62030,291,203.93
01/08/2022,61560,161,223.15
01/08/2022,65540,278,476.91
01/08/2022,86010,239,31.4
01/08/2022,66510,175,150.24
01/08/2022,62020,227,"1,301.95"
01/08/2022,66040,271,30.92
01/08/2022,81350,204,9.42
01/08/2022,65620,188,463.96
01/08/2022,84020,292,141.43
01/08/2022,72110,277,"2,367.39"
01/08/2022,86450,158,3.25
01/08/2022,73010,173,560.33
01/08/2022,62560,259,4.28
02/08/2022,66110,205,0.29
02/08/2022,61510,175,121.27
02/08/2022,71050,297,505.68
02/08/2022,71299,182,31.27
02/08/2022,86180,258,27.66
02/08/2022,84020,264,141.43
02/08/2022,65550,231,"1,224.83"
02/08/2022,66020,224,542.4
02/08/2022,62530,225,129.39
02/08/2022,65660,224,47.54
02/08/2022,65520,276,43.22
02/08/2022,61560,267,223.15
02/08/2022,66050,162,66.12
02/08/2022,81090,284,588.78
02/08/2022,66510,179,130.65
02/08/2022,62540,271,10.84
02/08/2022,62010,222,841.94
02/08/2022,62560,223,8.16
02/08/2022,66010,295,100.42
02/08/2022,81200,235,25.36
02/08/2022,85010,283,99.31
02/08/2022,66100,278,3.61
02/08/2022,64010,183,43.72
02/08/2022,81260,198,60.11
02/08/2022,81170,189,57.69
02/08/2022,66110,241,0.46
02/08/2022,62510,164,406
02/08/2022,65620,167,676.49
02/08/2022,66100,256,3.61
02/08/2022,65620,158,191.63
02/08/2022,61570,280,216.15
02/08/2022,65590,172,66.8
02/08/2022,64000,262,441.51
02/08/2022,83060,249,64.73
02/08/2022,73010,239,406.4
02/08/2022,66020,278,568.23
02/08/2022,65730,164,1.19
02/08/2022,82060,250,225.45
02/08/2022,62520,239,341.07
