TranDate,Account,Dept,Sum of Amount
01/09/2022,83020,264,108
01/09/2022,66080,185,5.2
01/09/2022,66510,239,78.2
01/09/2022,65740,277,274.52
01/09/2022,66520,291,34.13
01/09/2022,65570,214,10.37
01/09/2022,65760,244,10.25
01/09/2022,61530,241,49.73
01/09/2022,66510,174,52.56
01/09/2022,73020,248,215.48
01/09/2022,81350,240,15.55
01/09/2022,65570,195,4.06
01/09/2022,62520,275,285.86
01/09/2022,61570,252,152.06
01/09/2022,62540,157,0.92
01/09/2022,66510,150,45.4
01/09/2022,62030,248,163.8
01/09/2022,66010,225,143.46
01/09/2022,62010,201,485.96
01/09/2022,83070,212,251.39
01/09/2022,65750,168,903.05
01/09/2022,66550,281,75.04
01/09/2022,65590,153,29.41
01/09/2022,62020,235,855.07
01/09/2022,61520,201,431.8
01/09/2022,73010,244,271.52
01/09/2022,65610,292,672.06
01/09/2022,71190,192,284.12
01/09/2022,62020,207,"2,025.17"
01/09/2022,66530,234,3.96
01/09/2022,66040,260,27.21
01/09/2022,61540,273,74.51
01/09/2022,64020,247,4.64
01/09/2022,65730,234,1.88
01/09/2022,62030,193,245.7
01/09/2022,65610,258,936.81
01/09/2022,62540,281,1.29
01/09/2022,86150,255,151.93
01/09/2022,65730,232,1.51
01/09/2022,65660,237,131.29
01/09/2022,65520,159,39.1
01/09/2022,62010,151,890.93
01/09/2022,62510,234,406
01/09/2022,64000,253,201.45
01/09/2022,85010,262,163.86
01/09/2022,64020,274,5.65
01/09/2022,66010,281,87.02
01/09/2022,63050,157,153.42
01/09/2022,82040,251,97.16
01/09/2022,73020,178,61.71
01/09/2022,65520,287,65.93
01/09/2022,65570,266,7.44
01/09/2022,66530,274,6.48
01/09/2022,66520,248,11.26
01/09/2022,61510,269,135.37
01/09/2022,62010,204,841.94
02/09/2022,62530,165,73.76
02/09/2022,66520,276,20.03
02/09/2022,71200,297,271.15
02/09/2022,66010,289,105.21
02/09/2022,65620,291,135.38
02/09/2022,82070,217,94.92
02/09/2022,65700,265,605
02/09/2022,62010,266,593.95
02/09/2022,66530,160,6.07
02/09/2022,65730,295,1.86
02/09/2022,65750,162,609.56
02/09/2022,66070,167,9.8
02/09/2022,73020,231,50.49
02/09/2022,68060,278,72.53
02/09/2022,65900,224,14.18
02/09/2022,72130,232,"2,164.29"
02/09/2022,61560,223,309.07
02/09/2022,62099,210,17.73
02/09/2022,65660,261,118.79
02/09/2022,66030,241,15.18
02/09/2022,62520,213,209.63
02/09/2022,86020,254,99.69
02/09/2022,68060,178,119.58
02/09/2022,65650,255,368.02
02/09/2022,73010,219,265.53
02/09/2022,65760,234,7.3
02/09/2022,65610,288,960.11
02/09/2022,72050,291,465.22
02/09/2022,64000,228,313.94
02/09/2022,62020,228,"2,700.23"
02/09/2022,86290,173,27.66
02/09/2022,84020,214,155.58
02/09/2022,62540,295,0.71
02/09/2022,66100,239,3.98
02/09/2022,65750,277,944.07
02/09/2022,62540,160,1.57
02/09/2022,66050,181,70.51
02/09/2022,64010,249,39.4
02/09/2022,65570,209,8.3
02/09/2022,68060,270,40.41
02/09/2022,65650,279,234.19
02/09/2022,65650,298,408.91
02/09/2022,65590,265,20.54
02/09/2022,65740,208,866.89
02/09/2022,66120,258,2.68
02/09/2022,72110,266,"2,656.69"
02/09/2022,86290,213,33.81
02/09/2022,62560,201,34.85
02/09/2022,82040,170,79.49
02/09/2022,61520,193,299.7
02/09/2022,65750,281,581.85
02/09/2022,81230,184,79.82
02/09/2022,66110,229,0.56
02/09/2022,61510,293,147.68
02/09/2022,65760,224,8.45
02/09/2022,65660,270,91.69
03/09/2022,64020,247,5.95
03/09/2022,66020,265,568.23
03/09/2022,61570,260,228.09
03/09/2022,73050,234,26.01
03/09/2022,86010,176,451.19
03/09/2022,61570,215,499.62
03/09/2022,62550,156,87.65
03/09/2022,65690,246,38.12
03/09/2022,86030,151,95.75
03/09/2022,73050,204,131.11
03/09/2022,64010,211,33.71
03/09/2022,65550,258,898.21
03/09/2022,66070,173,9.35
03/09/2022,66040,178,98.82
03/09/2022,73040,158,35.64
03/09/2022,64010,156,28.9
03/09/2022,66090,250,62.4
03/09/2022,86270,210,263.74
03/09/2022,65650,196,245.35
03/09/2022,71170,250,532.31
03/09/2022,81210,231,297.82
03/09/2022,66550,180,1.35
03/09/2022,66510,194,150.24
03/09/2022,66100,257,3.45
03/09/2022,66110,258,1.18
03/09/2022,81020,294,60.63
03/09/2022,85010,243,109.24
03/09/2022,61520,213,316.65
03/09/2022,62520,215,357.14
03/09/2022,66110,174,0.77
03/09/2022,66010,260,106.35
03/09/2022,61530,254,76.4
03/09/2022,61530,290,72.93
03/09/2022,72010,215,"2,222.02"
03/09/2022,64010,293,18.39
03/09/2022,66110,188,0.36
03/09/2022,64020,278,5.11
03/09/2022,65730,206,3.38
03/09/2022,65550,195,"1,878.07"
03/09/2022,66090,215,42.77
03/09/2022,73010,154,216.36
03/09/2022,62550,250,63.75
03/09/2022,82060,199,86.47
03/09/2022,65700,245,659.85
03/09/2022,66110,200,0.46
03/09/2022,65750,188,350.96
03/09/2022,64020,195,4.2
03/09/2022,61510,290,311.36
03/09/2022,66080,279,3.66
03/09/2022,61570,163,408.78
03/09/2022,66050,217,40.88
03/09/2022,66510,196,143.36
03/09/2022,65710,253,386.59
03/09/2022,62020,208,849.1
03/09/2022,65700,190,809.81
03/09/2022,62540,249,1.18
03/09/2022,62560,233,32.66
03/09/2022,86040,289,332.68
03/09/2022,62010,278,566.95
03/09/2022,81260,287,60.11
03/09/2022,68060,177,103.98
03/09/2022,68060,238,29.96
03/09/2022,65600,154,232.21
03/09/2022,66090,266,28.51
03/09/2022,65740,215,650.17
03/09/2022,66030,267,7.26
03/09/2022,66510,171,71.86
03/09/2022,64000,164,231.79
03/09/2022,62030,258,184.51
03/09/2022,62020,298,"1,800.15"
03/09/2022,65590,228,60.44
03/09/2022,65540,173,646.25
03/09/2022,84020,262,303.86
03/09/2022,71325,256,804.69
03/09/2022,64000,280,172.67
03/09/2022,61560,294,119.62
03/09/2022,86400,215,2.11
03/09/2022,81060,248,689.5
03/09/2022,62560,167,28.4
03/09/2022,62030,169,189.67
03/09/2022,64000,170,431.67
03/09/2022,64000,193,259
03/09/2022,65700,254,494.89
03/09/2022,63050,295,30.38
03/09/2022,65710,208,472.5
03/09/2022,62530,178,81.57
03/09/2022,66550,244,0.43
03/09/2022,81050,202,103.25
03/09/2022,66020,179,688.95
03/09/2022,61550,267,203.14
03/09/2022,66070,295,30.73
03/09/2022,64000,269,507.74
