TranDate,Account,Dept,Sum of Amount
01/10/2022,86310,182,114.23
01/10/2022,83070,206,181.21
01/10/2022,65610,276,328.66
01/10/2022,65540,207,16.67
01/10/2022,65690,272,83.49
01/10/2022,66140,192,22.33
01/10/2022,65760,227,4.61
01/10/2022,73035,251,84.66
01/10/2022,73010,277,61.67
01/10/2022,62030,185,89.71
01/10/2022,66010,280,10.04
01/10/2022,62550,182,50.28
01/10/2022,65760,242,10.06
01/10/2022,61550,188,110.77
01/10/2022,66520,233,22.93
01/10/2022,66530,294,3.4
01/10/2022,61520,214,259.08
01/10/2022,68060,196,62.39
01/10/2022,73020,160,26.11
01/10/2022,62520,213,123.87
01/10/2022,66040,245,14.06
01/10/2022,66080,206,1.76
01/10/2022,61530,265,31.56
01/10/2022,65740,250,"1,112.52"
01/10/2022,65540,192,35.66
01/10/2022,65740,259,529.77
01/10/2022,83010,156,48.25
01/10/2022,81350,289,12.73
01/10/2022,65730,175,6.58
01/10/2022,82050,212,3.51
01/10/2022,65620,262,7.23
01/10/2022,62030,171,89.71
01/10/2022,61510,214,115.32
01/10/2022,63050,184,92.57
01/10/2022,62520,291,148.64
01/10/2022,65600,283,511.54
01/10/2022,65750,212,843.05
01/10/2022,73050,251,66.41
01/10/2022,73050,212,7.26
01/10/2022,71325,189,501.13
01/10/2022,81190,155,13.45
01/10/2022,65740,200,476.79
01/10/2022,66100,209,6.67
01/10/2022,65750,295,961.7
01/10/2022,65660,184,22.11
01/10/2022,73040,165,212.22
01/10/2022,66010,210,79.1
01/10/2022,65590,247,29.41
01/10/2022,63050,256,48.49
01/10/2022,72130,209,"2,877.64"
01/10/2022,86010,254,18.23
01/10/2022,86830,196,22.18
01/10/2022,83020,180,337.79
01/10/2022,63050,167,174.98
01/10/2022,63050,173,79.35
01/10/2022,62099,208,21.63
01/10/2022,66090,161,15.39
01/10/2022,66140,164,13.7
01/10/2022,65570,243,4.06
01/10/2022,65540,231,15.28
01/10/2022,66010,210,9.47
01/10/2022,62530,196,61.92
01/10/2022,62520,198,121.62
01/10/2022,86200,218,124.52
01/10/2022,81210,223,390.26
01/10/2022,61550,281,147.27
01/10/2022,65650,248,94.14
01/10/2022,61530,243,47.33
01/10/2022,62030,257,74.76
01/10/2022,72020,282,"3,328.99"
01/10/2022,65700,283,328.04
01/10/2022,61520,227,82.4
01/10/2022,73040,218,100.44
01/10/2022,65600,230,577.12
01/10/2022,62510,249,110.99
01/10/2022,73020,174,148.66
01/10/2022,65610,268,187.81
01/10/2022,81050,240,846.13
01/10/2022,83010,222,15.6
01/10/2022,73030,156,73.28
01/10/2022,65760,204,5.03
01/10/2022,61560,197,17.47
01/10/2022,66020,225,181.5
01/10/2022,66510,237,15.84
01/10/2022,73050,254,3.21
01/10/2022,62010,276,412.23
01/10/2022,66070,258,16.76
01/10/2022,86020,282,16.01
01/10/2022,65600,276,769.49
01/10/2022,66090,267,27.28
01/10/2022,66030,251,5.94
01/10/2022,71060,235,73.42
01/10/2022,65730,293,6.08
01/10/2022,81150,245,80.7
01/10/2022,65540,261,22.92
01/10/2022,66050,227,17.1
01/10/2022,66020,262,439.78
01/10/2022,86020,198,6.86
01/10/2022,71310,168,"2,939.71"
01/10/2022,73020,209,7.07
01/10/2022,61560,274,23.83
01/10/2022,86200,172,15.6
01/10/2022,66140,244,12.1
01/10/2022,64000,224,172.67
