TranDate,Account,Dept,Sum of Amount
01/04/2022,71240,296,613.69
01/04/2022,65740,157,689.51
01/04/2022,65610,239,246.57
01/04/2022,65660,187,124.42
01/04/2022,65650,197,192.52
01/04/2022,73030,162,20.57
01/04/2022,73030,157,230.94
01/04/2022,61550,286,191.93
01/04/2022,65590,293,25.25
01/04/2022,66520,175,40.37
01/04/2022,62099,270,25.41
01/04/2022,66020,193,102.26
01/04/2022,61510,155,41.27
01/04/2022,65740,245,564.14
01/04/2022,73040,156,126
01/04/2022,65620,185,27.26
01/04/2022,65690,259,74.44
01/04/2022,66550,211,113.64
01/04/2022,66020,251,364.56
01/04/2022,62550,176,43.54
01/04/2022,72999,232,199.64
01/04/2022,65620,275,33.46
01/04/2022,71060,170,55.08
01/04/2022,65760,298,10.38
01/04/2022,66040,157,20.77
01/04/2022,65740,207,542.89
01/04/2022,65550,226,99.82
01/04/2022,64000,225,153.63
01/04/2022,63050,255,10.03
01/04/2022,83020,291,304.35
01/04/2022,62510,255,234.75
01/04/2022,62560,225,8.73
01/04/2022,66100,160,4.29
01/04/2022,62510,150,215.19
01/04/2022,62510,213,286.92
01/04/2022,66030,273,3.4
01/04/2022,61540,204,9.92
01/04/2022,86010,152,295.98
01/04/2022,61550,278,191.93
01/04/2022,64000,259,246.42
01/04/2022,66520,293,22.02
01/04/2022,64020,213,9.04
01/04/2022,61510,218,43.98
01/04/2022,66050,155,21.06
01/04/2022,65590,298,92.49
01/04/2022,73010,179,75.24
01/04/2022,86020,290,46.9
01/04/2022,86320,216,93.5
01/04/2022,65690,174,90.99
02/04/2022,68060,254,76.57
02/04/2022,66550,292,75.76
02/04/2022,65570,236,18.04
02/04/2022,63050,278,10.03
02/04/2022,66030,166,8.04
02/04/2022,66040,207,29
02/04/2022,65610,228,302.61
02/04/2022,62540,296,16.96
02/04/2022,61560,226,64.33
02/04/2022,66070,289,13.09
02/04/2022,64000,234,264.67
02/04/2022,81350,276,15.53
02/04/2022,64000,150,153.63
