TranDate,Account,Dept,Sum of Amount
01/02/2022,66510,140,16.84
01/02/2022,64020,150,0.17
01/02/2022,83020,130,100
01/02/2022,63060,150,2
01/02/2022,65590,110,35.54
01/02/2022,66050,130,52.39
01/02/2022,66080,130,6.75
01/02/2022,66070,130,4.08
01/02/2022,86120,110,20.06
01/02/2022,63060,150,2
01/02/2022,71030,120,38.58
01/02/2022,65570,110,3.34
01/02/2022,61520,150,109.77
01/02/2022,86270,150,38.59
01/02/2022,65740,110,504.01
01/02/2022,73030,170,73.68
01/02/2022,65710,110,723.42
01/02/2022,73060,165,84.6
01/02/2022,61530,150,29.68
01/02/2022,65760,110,9.14
01/02/2022,63060,150,2
01/02/2022,66510,140,15.68
01/02/2022,81330,160,668.84
01/02/2022,68050,170,0.17
01/02/2022,62530,120,9.28
01/02/2022,65760,110,9.14
01/02/2022,86290,150,180.79
01/02/2022,82050,150,105.36
01/02/2022,62099,150,12.62
01/02/2022,61550,150,79.64
01/02/2022,62520,120,64.85
01/02/2022,62510,120,42.85
01/02/2022,86120,110,20.06
01/02/2022,66520,140,20.01
01/02/2022,86100,120,21.67
01/02/2022,73040,110,193.5
01/02/2022,61550,150,106.18
01/02/2022,66130,130,81.52
01/02/2022,61530,150,22.26
01/02/2022,65710,110,964.57
01/02/2022,86030,110,92.27
01/02/2022,61540,150,1.45
01/02/2022,73030,165,96.54
01/02/2022,66110,130,0.93
01/02/2022,65690,110,66.49
01/02/2022,83060,170,173.03
01/02/2022,66010,130,3.38
01/02/2022,65700,110,118.59
01/02/2022,66550,140,32.1
02/02/2022,83060,170,173.03
02/02/2022,61560,150,3.27
02/02/2022,73010,165,113.92
02/02/2022,81210,160,59.89
02/02/2022,66020,130,92.25
02/02/2022,65600,110,56.43
02/02/2022,66080,130,5.06
02/02/2022,65570,110,3.34
02/02/2022,71170,150,226.83
02/02/2022,61510,150,26.01
02/02/2022,65760,110,12.19
02/02/2022,62530,120,9.28
02/02/2022,72340,170,90
02/02/2022,61550,150,106.18
02/02/2022,72070,150,"1,912.01"
02/02/2022,62560,120,17.08
02/02/2022,65750,110,677.68
02/02/2022,65760,110,9.14
02/02/2022,66030,130,0.73
02/02/2022,81240,160,75
02/02/2022,61540,150,1.45
02/02/2022,86100,160,202.98
02/02/2022,65700,110,95.53
02/02/2022,68060,170,53.17
02/02/2022,66050,130,56.27
02/02/2022,68050,170,0.16
02/02/2022,71299,150,2.63
02/02/2022,81260,160,1.87
02/02/2022,62510,120,42.85
02/02/2022,86350,150,68.78
02/02/2022,81220,160,45.28
02/02/2022,65550,110,75.94
02/02/2022,68060,170,70.9
02/02/2022,66010,130,3.63
02/02/2022,64000,150,168.88
02/02/2022,65710,110,777.01
02/02/2022,64020,150,0.18
02/02/2022,71010,120,205.82
02/02/2022,72090,150,"1,024.83"
02/02/2022,66010,130,3.38
02/02/2022,66510,140,15.68
02/02/2022,65550,110,75.94
02/02/2022,81140,160,3.73
02/02/2022,65730,110,6.33
02/02/2022,73040,160,126
02/02/2022,73040,150,265.5
02/02/2022,61530,150,22.26
02/02/2022,66520,140,24.84
02/02/2022,82040,130,0.91
03/02/2022,64020,150,0.17
03/02/2022,86360,150,125.77
03/02/2022,61520,150,109.77
03/02/2022,81150,160,20.43
03/02/2022,61510,150,34.68
03/02/2022,66100,130,6.62
03/02/2022,82100,170,24.06
03/02/2022,66120,130,2.78
03/02/2022,66030,130,0.9
03/02/2022,66010,130,3.38
03/02/2022,65710,110,723.42
03/02/2022,65760,110,9.14
03/02/2022,65540,110,318.21
03/02/2022,61560,150,2.45
03/02/2022,65700,110,88.94
03/02/2022,66130,130,87.56
03/02/2022,66130,130,108.7
03/02/2022,65540,110,318.21
03/02/2022,61530,150,22.26
03/02/2022,86200,110,25.44
03/02/2022,62520,120,64.85
03/02/2022,65750,110,677.68
03/02/2022,61560,150,2.45
03/02/2022,72160,170,"1,466.25"
03/02/2022,62099,150,12.62
03/02/2022,86400,170,0.1
03/02/2022,65590,110,35.54
03/02/2022,71160,150,63.89
03/02/2022,81900,165,32.02
03/02/2022,62530,120,9.28
03/02/2022,86120,110,20.06
03/02/2022,86200,110,25.44
03/02/2022,81350,160,11.79
03/02/2022,65570,110,4.46
03/02/2022,65540,110,296.26
03/02/2022,66080,130,5.06
03/02/2022,72160,170,"1,466.25"
03/02/2022,65570,110,3.34
03/02/2022,83030,150,233.54
03/02/2022,61540,150,1.56
03/02/2022,86080,110,55.86
03/02/2022,65740,110,504.01
03/02/2022,72150,165,"1,713.03"
03/02/2022,73010,160,476.8
03/02/2022,66090,130,0.68
03/02/2022,66110,130,0.7
03/02/2022,71200,150,36.97
03/02/2022,61520,150,109.77
03/02/2022,81200,160,185.81
04/02/2022,65540,110,296.26
04/02/2022,65590,110,35.54
04/02/2022,62099,150,12.62
04/02/2022,62560,120,17.08
04/02/2022,64010,150,7.51
04/02/2022,72340,110,69.25
04/02/2022,73020,110,202.35
04/02/2022,65760,110,9.14
04/02/2022,62520,120,86.47
04/02/2022,84020,130,281.36
04/02/2022,81010,160,121.99
04/02/2022,62020,150,276.32
04/02/2022,71070,120,5.77
04/02/2022,72340,160,221.25
04/02/2022,72070,150,"1,912.01"
04/02/2022,65740,110,504.01
04/02/2022,72070,150,"1,912.01"
04/02/2022,62020,150,276.32
04/02/2022,64000,150,168.88
04/02/2022,65730,110,6.33
04/02/2022,62550,120,34.4
04/02/2022,62510,120,42.85
04/02/2022,62510,120,42.85
04/02/2022,62520,120,64.85
04/02/2022,66120,130,2.78
04/02/2022,63060,150,2
04/02/2022,86100,170,141.51
04/02/2022,71050,120,250.17
04/02/2022,61540,150,1.45
04/02/2022,71020,120,664.95
04/02/2022,65710,110,964.57
04/02/2022,68050,170,0.16
04/02/2022,63060,150,2.66
04/02/2022,66120,130,2.59
04/02/2022,62099,150,12.62
04/02/2022,63060,150,2
04/02/2022,65760,110,12.19
04/02/2022,65750,110,903.57
04/02/2022,73010,165,113.92
04/02/2022,65760,110,9.14
04/02/2022,62520,120,64.85
04/02/2022,61510,150,26.01
04/02/2022,64000,150,225.17
04/02/2022,61530,150,23.91
04/02/2022,86350,150,68.78
04/02/2022,66050,130,69.85
04/02/2022,66050,130,52.39
04/02/2022,65750,110,677.68
04/02/2022,63060,150,2
05/02/2022,71010,120,205.82
05/02/2022,85010,170,124.14
05/02/2022,66120,130,2.59
05/02/2022,66100,130,7.11
05/02/2022,64020,150,0.17
05/02/2022,65740,110,504.01
05/02/2022,61550,150,79.64
05/02/2022,65550,110,75.94
05/02/2022,65740,110,541.34
05/02/2022,61530,150,22.26
05/02/2022,62550,120,34.4
05/02/2022,62560,120,18.35
05/02/2022,61560,150,2.45
05/02/2022,66550,140,29.89
05/02/2022,62020,150,276.32
05/02/2022,66550,140,29.89
05/02/2022,66080,130,5.06
05/02/2022,81230,160,35.96
05/02/2022,73010,160,476.8
05/02/2022,82010,130,105.74
05/02/2022,65750,110,677.68
05/02/2022,81010,160,121.99
05/02/2022,82060,170,210.01
05/02/2022,83060,170,173.03
05/02/2022,66130,130,81.52
05/02/2022,61510,150,26.01
05/02/2022,61550,150,79.64
05/02/2022,66110,130,0.7
05/02/2022,65710,110,723.42
05/02/2022,73060,110,45.47
05/02/2022,66550,140,29.89
05/02/2022,66090,130,0.73
05/02/2022,65570,110,3.34
05/02/2022,62510,120,42.85
05/02/2022,61570,150,68.62
05/02/2022,66530,140,25.8
05/02/2022,62550,120,32.03
05/02/2022,62099,150,12.62
05/02/2022,65600,110,75.24
05/02/2022,73030,160,423.17
05/02/2022,62020,150,368.43
05/02/2022,66080,130,5.06
05/02/2022,66010,130,3.38
05/02/2022,72999,150,271.83
05/02/2022,66120,130,2.59
05/02/2022,66010,130,3.38
05/02/2022,65600,110,56.43
05/02/2022,62020,150,276.32
05/02/2022,66530,140,25.8
05/02/2022,81180,160,27.48
05/02/2022,61520,150,117.9
05/02/2022,61520,150,146.36
05/02/2022,65700,110,118.59
05/02/2022,61510,150,26.01
05/02/2022,66530,140,25.8
05/02/2022,73050,110,79.63
05/02/2022,65700,110,88.94
05/02/2022,66030,130,0.68
05/02/2022,80990,110,"1,799.19"
05/02/2022,62510,120,57.13
05/02/2022,65730,110,6.33
05/02/2022,66550,140,32.1
05/02/2022,66030,130,0.68
05/02/2022,65590,110,35.54
05/02/2022,66010,130,3.38
05/02/2022,81150,160,20.43
05/02/2022,66510,140,20.91
05/02/2022,66100,130,6.62
05/02/2022,73050,170,30.53
05/02/2022,86180,160,352.76
05/02/2022,61540,150,1.45
05/02/2022,81270,160,158.78
05/02/2022,86200,110,25.44
05/02/2022,62560,120,17.08
05/02/2022,66050,130,69.85
05/02/2022,71010,120,205.82
05/02/2022,62010,150,314.27
05/02/2022,66530,140,27.71
05/02/2022,66010,130,3.63
05/02/2022,62520,120,69.66
05/02/2022,86010,110,177.75
05/02/2022,66130,130,81.52
05/02/2022,66130,130,81.52
05/02/2022,66090,130,0.68
05/02/2022,66080,130,5.44
05/02/2022,65730,110,6.33
05/02/2022,66040,130,4.19
05/02/2022,86030,110,92.27
05/02/2022,81210,160,59.89
05/02/2022,81350,160,11.79
05/02/2022,65740,110,504.01
05/02/2022,64010,150,7.51
05/02/2022,73050,160,96.54
05/02/2022,66520,140,20.01
05/02/2022,86100,120,21.67
05/02/2022,62020,150,296.79
05/02/2022,62510,120,42.85
05/02/2022,65750,110,903.57
05/02/2022,65550,110,101.25
05/02/2022,62560,120,18.35
05/02/2022,66010,130,3.38
05/02/2022,64000,150,168.88
05/02/2022,65740,110,672.01
05/02/2022,83020,170,418.98
05/02/2022,61520,150,109.77
05/02/2022,86030,150,7.88
05/02/2022,64010,150,8.06
05/02/2022,62560,120,17.08
05/02/2022,65570,110,3.34
05/02/2022,66040,130,5.58
05/02/2022,83070,170,231.89
05/02/2022,84020,130,281.36
05/02/2022,66550,140,29.89
05/02/2022,65740,110,672.01
05/02/2022,73030,110,430.49
05/02/2022,66030,130,0.68
05/02/2022,66090,130,0.68
05/02/2022,71560,140,100
05/02/2022,62010,150,314.27
05/02/2022,72090,150,"1,024.83"
05/02/2022,61560,150,2.45
05/02/2022,66530,140,25.8
05/02/2022,66050,130,69.85
05/02/2022,66130,130,108.7
05/02/2022,81150,160,20.43
05/02/2022,66070,130,4.08
05/02/2022,66070,130,4.38
05/02/2022,64010,150,7.51
05/02/2022,86200,160,92.07
05/02/2022,86180,140,72.08
05/02/2022,86050,150,69.56
05/02/2022,65690,110,66.49
05/02/2022,86050,160,85.8
05/02/2022,66120,130,2.59
05/02/2022,66090,130,0.73
05/02/2022,65690,110,88.66
05/02/2022,66040,130,5.58
05/02/2022,82060,170,210.01
05/02/2022,86100,170,141.51
05/02/2022,62530,120,9.28
05/02/2022,65710,110,777.01
05/02/2022,66050,130,56.27
05/02/2022,65690,110,66.49
05/02/2022,64020,150,0.17
05/02/2022,86150,110,11.18
05/02/2022,62099,150,12.62
05/02/2022,62099,150,12.62
05/02/2022,66510,140,16.84
05/02/2022,66030,130,0.68
05/02/2022,81210,160,59.89
05/02/2022,83050,170,299.4
05/02/2022,85510,170,685.5
05/02/2022,65750,110,677.68
05/02/2022,65710,110,723.42
05/02/2022,66110,130,0.93
05/02/2022,72010,110,"1,153.71"
05/02/2022,83050,170,299.4
05/02/2022,82050,150,105.36
05/02/2022,64010,150,10.01
05/02/2022,71070,120,5.77
05/02/2022,62560,120,17.08
05/02/2022,66080,130,5.06
05/02/2022,83020,170,418.98
05/02/2022,66130,130,81.52
05/02/2022,72060,150,"1,013.10"
05/02/2022,73020,110,202.35
05/02/2022,61530,150,22.26
05/02/2022,66030,130,0.68
05/02/2022,73050,140,1.68
05/02/2022,81900,165,32.02
05/02/2022,72110,160,"2,249.86"
05/02/2022,62020,150,276.32
05/02/2022,72340,165,28.75
05/02/2022,65700,110,88.94
05/02/2022,62010,150,314.27
05/02/2022,65740,110,504.01
05/02/2022,68050,170,0.16
05/02/2022,73030,170,73.68
05/02/2022,63060,150,2.66
05/02/2022,65700,110,88.94
05/02/2022,61530,150,22.26
05/02/2022,62010,150,419.02
05/02/2022,65750,110,677.68
05/02/2022,81900,165,32.02
05/02/2022,81180,160,27.48
05/02/2022,83020,130,100
06/02/2022,73020,150,159.46
06/02/2022,63060,150,2
06/02/2022,65570,110,3.59
06/02/2022,62560,120,18.35
06/02/2022,73020,140,4.22
06/02/2022,71180,150,0.52
06/02/2022,65550,110,75.94
06/02/2022,66120,130,3.45
06/02/2022,61520,150,146.36
06/02/2022,61570,150,63.88
06/02/2022,65730,110,6.33
06/02/2022,66510,140,15.68
06/02/2022,65570,110,4.46
06/02/2022,73040,110,193.5
06/02/2022,66110,130,0.7
06/02/2022,65730,110,6.33
06/02/2022,65540,110,395.02
06/02/2022,64010,150,10.01
06/02/2022,66100,130,6.62
06/02/2022,65540,110,318.21
06/02/2022,62550,120,32.03
06/02/2022,66090,130,0.68
06/02/2022,63060,150,2
06/02/2022,81170,160,37.95
06/02/2022,66040,130,4.19
06/02/2022,81100,160,69.28
06/02/2022,62530,120,9.28
06/02/2022,62520,120,64.85
06/02/2022,81330,160,668.84
06/02/2022,66510,140,15.68
06/02/2022,62520,120,64.85
06/02/2022,66130,130,87.56
06/02/2022,65750,110,677.68
06/02/2022,66080,130,5.06
06/02/2022,62520,120,69.66
06/02/2022,68060,170,53.17
06/02/2022,62530,120,9.28
06/02/2022,73020,170,76.7
06/02/2022,84020,130,281.36
06/02/2022,66080,130,5.44
06/02/2022,86010,160,62.71
06/02/2022,61570,150,63.88
06/02/2022,65690,110,88.66
06/02/2022,73060,120,39.12
06/02/2022,66550,140,29.89
06/02/2022,62530,120,9.28
06/02/2022,66510,140,15.68
06/02/2022,82050,150,105.36
06/02/2022,66110,130,0.7
07/02/2022,83020,170,418.98
07/02/2022,71299,150,2.63
07/02/2022,62530,120,9.97
07/02/2022,71070,120,5.77
07/02/2022,86100,150,61.28
07/02/2022,61520,150,109.77
07/02/2022,86100,160,202.98
07/02/2022,62099,150,16.83
07/02/2022,62010,150,314.27
07/02/2022,65600,110,56.43
07/02/2022,86150,110,11.18
07/02/2022,86040,150,100.21
07/02/2022,66520,140,18.63
07/02/2022,72050,140,356.63
07/02/2022,61510,150,26.01
07/02/2022,61520,150,117.9
07/02/2022,82050,140,61.92
07/02/2022,66030,130,0.68
07/02/2022,65570,110,3.34
07/02/2022,61570,150,68.62
07/02/2022,66050,130,52.39
07/02/2022,61570,150,63.88
07/02/2022,86450,170,27.8
07/02/2022,64020,150,0.17
07/02/2022,65570,110,4.46
07/02/2022,62020,150,368.43
07/02/2022,65730,110,6.33
07/02/2022,62530,120,9.28
07/02/2022,66020,130,69.19
07/02/2022,65750,110,677.68
07/02/2022,61570,150,63.88
07/02/2022,82040,130,0.91
07/02/2022,73010,170,153.5
07/02/2022,65700,110,95.53
07/02/2022,64010,150,7.51
07/02/2022,64000,150,168.88
07/02/2022,71050,120,250.17
07/02/2022,66020,130,69.19
07/02/2022,72060,150,"1,013.10"
07/02/2022,61570,150,63.88
07/02/2022,65570,110,3.34
07/02/2022,61530,150,22.26
07/02/2022,66520,140,18.63
07/02/2022,66130,130,81.52
07/02/2022,62510,120,57.13
07/02/2022,66110,130,0.7
07/02/2022,82050,140,61.92
07/02/2022,65750,110,677.68
07/02/2022,66090,130,0.68
08/02/2022,86310,150,85.71
08/02/2022,66120,130,2.78
08/02/2022,65750,110,677.68
08/02/2022,84020,170,183.22
08/02/2022,73010,160,476.8
08/02/2022,62560,120,22.78
08/02/2022,73040,165,40.5
08/02/2022,64010,150,7.51
08/02/2022,66130,130,87.56
08/02/2022,66040,130,4.19
08/02/2022,61520,150,109.77
08/02/2022,65710,110,723.42
08/02/2022,65550,110,75.94
08/02/2022,66550,140,29.89
08/02/2022,65710,110,723.42
08/02/2022,71200,150,36.97
08/02/2022,62530,120,12.37
08/02/2022,65760,110,9.14
08/02/2022,66010,130,3.38
08/02/2022,62010,150,314.27
08/02/2022,63060,150,2
08/02/2022,61530,150,22.26
08/02/2022,86040,110,"1,852.88"
08/02/2022,66070,130,4.08
08/02/2022,61550,150,79.64
08/02/2022,62510,120,57.13
08/02/2022,65590,110,35.54
08/02/2022,61530,150,22.26
08/02/2022,62520,120,86.47
08/02/2022,64000,150,168.88
08/02/2022,61560,150,2.45
08/02/2022,73040,150,265.5
08/02/2022,65690,110,66.49
08/02/2022,65690,110,71.42
08/02/2022,66550,140,29.89
08/02/2022,62550,120,32.03
08/02/2022,73050,110,79.63
08/02/2022,66520,140,18.63
08/02/2022,72020,110,"2,706.57"
08/02/2022,66550,140,29.89
08/02/2022,62530,120,9.28
08/02/2022,66100,130,6.62
08/02/2022,86010,170,4.38
08/02/2022,62099,150,12.62
08/02/2022,62550,120,32.03
08/02/2022,66130,130,81.52
08/02/2022,62010,150,314.27
08/02/2022,64000,150,168.88
08/02/2022,68060,170,53.17
09/02/2022,66010,130,3.38
09/02/2022,65550,110,81.56
09/02/2022,65760,110,9.14
09/02/2022,63060,150,2
09/02/2022,81230,160,35.96
09/02/2022,61540,150,1.45
09/02/2022,86100,170,141.51
09/02/2022,66530,140,25.8
09/02/2022,81220,160,45.28
09/02/2022,62550,120,42.7
09/02/2022,65550,110,75.94
09/02/2022,73050,160,96.54
09/02/2022,62520,120,64.85
09/02/2022,61560,150,2.45
09/02/2022,66120,130,3.45
09/02/2022,73050,160,96.54
09/02/2022,66020,130,69.19
09/02/2022,65540,110,296.26
09/02/2022,62520,120,64.85
09/02/2022,66020,130,69.19
09/02/2022,66010,130,3.38
09/02/2022,66090,130,0.68
09/02/2022,68060,170,53.17
09/02/2022,61520,150,109.77
09/02/2022,73030,165,96.54
09/02/2022,72340,150,179.75
09/02/2022,62510,120,42.85
09/02/2022,66090,130,0.68
09/02/2022,65600,110,56.43
09/02/2022,62099,150,12.62
09/02/2022,66010,130,3.63
09/02/2022,82040,130,0.91
09/02/2022,62010,150,337.55
09/02/2022,66070,130,4.08
09/02/2022,61560,150,2.63
09/02/2022,61550,150,79.64
09/02/2022,65730,110,6.33
09/02/2022,81900,165,32.02
09/02/2022,82010,130,105.74
09/02/2022,62099,150,13.56
09/02/2022,61510,150,26.01
09/02/2022,65550,110,75.94
09/02/2022,72120,160,"2,815.95"
09/02/2022,66110,130,0.75
09/02/2022,73050,165,21.5
09/02/2022,62520,120,64.85
09/02/2022,65550,110,75.94
09/02/2022,65540,110,296.26
09/02/2022,85510,170,685.5
10/02/2022,64020,150,0.17
10/02/2022,72999,150,271.83
10/02/2022,65710,110,723.42
10/02/2022,65540,110,395.02
10/02/2022,66080,130,5.06
10/02/2022,82100,170,24.06
10/02/2022,71180,150,0.52
10/02/2022,64020,150,0.17
10/02/2022,68050,170,0.16
10/02/2022,66030,130,0.68
10/02/2022,65600,110,75.24
10/02/2022,62510,120,42.85
10/02/2022,65730,110,8.44
10/02/2022,62520,120,64.85
10/02/2022,72340,165,28.75
10/02/2022,81230,160,35.96
10/02/2022,61550,150,79.64
10/02/2022,73050,160,96.54
10/02/2022,65570,110,3.34
10/02/2022,66050,130,52.39
10/02/2022,61510,150,34.68
10/02/2022,62020,150,276.32
10/02/2022,65540,110,296.26
10/02/2022,83020,170,418.98
10/02/2022,86010,150,125.09
10/02/2022,66100,130,6.62
10/02/2022,68060,170,53.17
10/02/2022,66520,140,24.84
10/02/2022,62550,120,42.7
10/02/2022,82010,130,105.74
10/02/2022,68050,170,0.16
10/02/2022,68050,170,0.16
10/02/2022,66530,140,34.4
10/02/2022,73020,150,159.46
10/02/2022,61550,150,79.64
10/02/2022,61550,150,79.64
10/02/2022,81100,160,69.28
10/02/2022,66020,130,69.19
10/02/2022,61530,150,22.26
10/02/2022,66050,130,52.39
10/02/2022,66550,140,32.1
10/02/2022,64020,150,0.23
10/02/2022,66070,130,4.38
10/02/2022,62010,150,337.55
10/02/2022,73010,165,113.92
10/02/2022,65550,110,101.25
10/02/2022,65590,110,35.54
10/02/2022,61520,150,109.77
10/02/2022,61570,150,68.62
11/02/2022,83020,160,415.42
11/02/2022,64010,150,7.51
11/02/2022,61530,150,23.91
11/02/2022,66110,130,0.7
11/02/2022,65550,110,75.94
11/02/2022,65550,110,101.25
11/02/2022,65700,110,118.59
11/02/2022,71060,120,78.99
11/02/2022,71190,150,31.15
11/02/2022,64010,150,7.51
11/02/2022,63060,150,2
11/02/2022,65700,110,88.94
11/02/2022,65740,110,504.01
11/02/2022,73030,160,423.17
11/02/2022,66100,130,6.62
11/02/2022,81210,160,59.89
11/02/2022,66040,130,5.58
11/02/2022,66110,130,0.7
11/02/2022,66100,130,7.11
11/02/2022,65570,110,3.34
11/02/2022,66090,130,0.68
11/02/2022,61560,150,2.45
11/02/2022,66080,130,5.06
11/02/2022,62530,120,9.28
11/02/2022,66520,140,18.63
11/02/2022,72340,165,28.75
11/02/2022,81010,160,121.99
11/02/2022,73010,140,8.28
11/02/2022,65690,110,66.49
11/02/2022,68060,170,53.17
11/02/2022,66100,130,7.11
11/02/2022,73040,165,40.5
11/02/2022,64010,150,7.51
11/02/2022,66040,130,4.5
11/02/2022,66520,140,24.84
11/02/2022,62510,120,42.85
11/02/2022,83070,170,231.89
11/02/2022,61560,150,2.45
11/02/2022,86010,170,4.38
11/02/2022,62510,120,42.85
11/02/2022,81180,160,27.48
11/02/2022,66090,130,0.68
11/02/2022,85010,170,124.14
11/02/2022,66020,130,69.19
11/02/2022,63060,150,2
11/02/2022,65750,110,677.68
11/02/2022,68060,170,53.17
11/02/2022,66110,130,0.7
11/02/2022,65760,110,9.14
12/02/2022,65540,110,395.02
12/02/2022,63060,150,2.15
12/02/2022,62520,120,69.66
12/02/2022,66550,140,29.89
12/02/2022,65550,110,81.56
12/02/2022,61540,150,1.56
12/02/2022,62530,120,9.28
12/02/2022,81190,160,20.17
12/02/2022,66520,140,18.63
12/02/2022,65550,110,75.94
12/02/2022,72050,140,356.63
12/02/2022,66090,130,0.68
12/02/2022,73020,150,159.46
12/02/2022,61510,150,26.01
12/02/2022,66050,130,52.39
12/02/2022,62520,120,64.85
12/02/2022,66010,130,4.5
12/02/2022,65700,110,88.94
12/02/2022,65750,110,903.57
12/02/2022,66550,140,29.89
12/02/2022,61530,150,22.26
12/02/2022,81280,160,97.2
12/02/2022,68060,170,53.17
12/02/2022,65730,110,6.33
12/02/2022,64020,150,0.17
12/02/2022,61540,150,1.45
12/02/2022,71050,120,250.17
12/02/2022,65740,110,504.01
12/02/2022,83010,170,77.78
12/02/2022,66110,130,0.7
12/02/2022,66520,140,18.63
12/02/2022,64020,150,0.17
12/02/2022,65760,110,9.14
12/02/2022,86100,110,64.8
12/02/2022,65740,110,504.01
12/02/2022,73060,165,84.6
12/02/2022,62099,150,12.62
12/02/2022,62560,120,17.08
12/02/2022,66050,130,52.39
12/02/2022,66110,130,0.75
12/02/2022,66010,130,3.38
12/02/2022,65600,110,56.43
12/02/2022,73030,150,583.42
12/02/2022,66110,130,0.7
12/02/2022,65590,110,47.39
12/02/2022,61510,150,27.94
12/02/2022,62530,120,9.28
12/02/2022,65700,110,88.94
12/02/2022,65740,110,504.01
12/02/2022,66100,130,6.62
12/02/2022,66090,130,0.9
12/02/2022,64020,150,0.18
12/02/2022,86010,170,4.38
12/02/2022,62560,120,17.08
12/02/2022,72010,110,"1,153.71"
12/02/2022,81280,160,97.2
12/02/2022,61550,150,79.64
12/02/2022,86100,160,202.98
12/02/2022,61540,150,1.94
12/02/2022,86010,150,125.09
12/02/2022,62560,120,17.08
12/02/2022,68060,170,53.17
12/02/2022,66040,130,4.19
12/02/2022,81010,110,14.29
12/02/2022,86040,150,100.21
12/02/2022,66020,130,69.19
12/02/2022,66050,130,52.39
12/02/2022,83020,130,100
12/02/2022,68050,170,0.16
12/02/2022,62099,150,13.56
12/02/2022,80990,110,"1,799.19"
12/02/2022,65600,110,75.24
12/02/2022,62560,120,17.08
12/02/2022,61550,150,106.18
12/02/2022,65550,110,75.94
12/02/2022,63060,150,2.15
12/02/2022,73010,170,153.5
12/02/2022,65550,110,75.94
12/02/2022,73050,170,30.53
12/02/2022,73040,160,126
12/02/2022,62530,120,9.28
12/02/2022,66130,130,81.52
12/02/2022,66010,130,3.38
12/02/2022,84020,130,281.36
12/02/2022,66080,130,5.06
12/02/2022,65750,110,677.68
12/02/2022,66020,130,69.19
12/02/2022,66520,140,18.63
12/02/2022,61560,150,2.45
12/02/2022,62550,120,32.03
12/02/2022,72140,160,980.23
12/02/2022,71180,150,0.52
12/02/2022,62520,120,64.85
12/02/2022,65590,110,35.54
12/02/2022,65760,110,9.82
12/02/2022,66550,140,39.85
12/02/2022,66070,130,4.08
12/02/2022,61540,150,1.45
12/02/2022,64010,150,7.51
12/02/2022,65760,110,9.82
12/02/2022,86030,110,92.27
12/02/2022,65550,110,101.25
12/02/2022,65750,110,677.68
